"","X.1","X","Family.Size","Males","Females","Natives","Not.Natives","Male.Occupation","Female.Occupation","Born.slaves","EduLevel","Literate"
"1","9",17,"2",1,1,1,1,"laborer","washer","0",50,"0"
"8","29",66,"6",3,3,5,1,"laborer","washer","0",66.67,"1"
"10","43",87,"2",1,1,0,2,"porter","washer","0",0,"0"
"26","264",463,"5",3,2,0,5,"laborer","days work","0",30,"0"
"32","320",567,"5",1,4,1,4,"hod carrier","days work","1",0,"0"
"34","407",696,"3",2,1,0,0,"waiter","days work","0",83.34,"1"
"37","490",824,"4",3,1,2,2,"waiter","days work","0",0,"0"
"69","813",1390,"4",1,3,2,2,"waiter","washer","0",37.5,"0"
"74","875",1483,"4",2,2,2,2,"waiter","days work","0",75,"1"
"75","880",1491,"2",1,1,0,2,"hod carrier","washer","1",25,"0"
"76","905",1530,"10",6,4,9,1,"hod carrier","days work","1",40,"0"
"82","948",1592,"3",1,2,1,2,"waiter","washer","0",50,"0"
"84","972",1632,"3",2,1,1,2,"hod carrier","days work","0",33.34,"0"
"85","973",1633,"4",1,3,0,4,"porter","dom. duties","3",12.5,"0"
"92","1027",1713,"2",1,1,0,0,"waiter","washer","0",0,"0"
"96","1080",1795,"3",1,2,1,2,"laborer","washer","0",50,"0"
"98","1093",1818,"6",3,3,5,1,"waiter","washer","1",16.66,"0"
"104","1105",1851,"3",2,1,1,2,"waiter","washer","0",16.66,"0"
"112","1129",1894,"2",1,1,0,2,"hod carrier","washer","0",75,"1"
"113","1133",1899,"2",1,1,0,2,"hod carrier","days work","0",25,"0"
"115","1138",1910,"4",2,2,1,2,"porter","days work","0",75,"1"
"116","1151",1936,"2",1,1,0,2,"waiter","washer","0",50,"0"
"120","1183",1995,"5",3,2,5,0,"waiter","washer","0",70,"1"
"122","1205",2026,"5",3,2,5,0,"waiter","washer","0",70,"1"
"124","1232",2067,"3",1,2,2,1,"porter","dom. duties","0",50,"0"
"126","1256",2109,"3",1,2,1,2,"porter","washer","0",0,"0"
"137","1356",2290,"2",1,1,0,2,"waiter","dom. duties","0",75,"1"
"145","1388",2343,"4",2,2,2,2,"laborer","washer","0",25,"0"
"148","1410",2371,"4",2,2,4,0,"waiter","washer","0",25,"0"
"154","1431",2408,"4",2,2,0,4,"laborer","washer","0",0,"0"
"163","1482",2468,"3",1,2,2,1,"porter","washer","1",50,"0"
"164","1485",2472,"4",2,2,2,2,"porter","dom. duties","0",50,"0"
"167","1502",2498,"4",3,1,2,2,"porter","washer","1",12.5,"0"
