"","X.1","X","Family.Size","Males","Females","Natives","Not.Natives","Male.Occupation","Female.Occupation","Born.slaves","EduLevel","Literate"
"1","9",17,"2",1,1,1,1,"laborer","washer","0",50,"0"
"4","17",31,"2",1,1,0,2,"porter","days work","0",0,"0"
"6","26",61,"4",1,3,3,1,"laborer","days work","1",37.5,"0"
"8","29",66,"6",3,3,5,1,"laborer","washer","0",66.67,"1"
"10","43",87,"2",1,1,0,2,"porter","washer","0",0,"0"
"18","102",181,"4",1,3,0,4,"laborer","washer","0",25,"0"
"19","109",192,"2",1,1,0,2,"laborer","washer","2",0,"0"
"26","240",428,"5",2,3,3,2,"porter","washer","0",40,"0"
"28","258",453,"3",1,2,3,0,"waiter","washer","0",50,"0"
"32","294",519,"3",2,1,1,2,"laborer","days work","0",66.67,"1"
"38","423",720,"2",1,1,0,2,"waiter $10m","days work","0",50,"0"
"40","488",821,"2",1,1,0,2,"seaman","days work","2",0,"0"
"65","666",1129,"7",4,3,5,2,"porter","days work","1",14.29,"0"
"74","795",1365,"2",1,1,0,1,"seaman","days work","0",50,"0"
"82","840",1432,"2",1,1,1,1,"porter","washer","0",100,"1"
"87","905",1530,"10",6,4,9,1,"hod carrier","days work","1",40,"0"
"89","922",1553,"4",2,2,2,2,"porter","washer","0",75,"1"
"92","930",1563,"3",1,2,1,2,"porter","2 washers","0",50,"0"
"94","945",1586,"3",1,2,1,2,"porter","washer","0",50,"0"
"97","961",1611,"3",1,2,0,3,"waiter $10m","days work","0",50,"0"
"104","1000",1670,"3",1,2,2,1,"waiter","2 washers","0",83.34,"1"
"109","1026",1712,"4",1,3,4,0,"waiter","washer","0",12.5,"0"
"111","1028",1714,"4",1,3,2,2,"porter","washer","0",50,"0"
"118","1069",1776,"6",3,3,3,3,"porter","2 washers","0",8.34,"0"
"121","1092",1814,"3",2,1,1,2,"hod carrier","washer","0",33.33,"0"
"122","1093",1818,"6",3,3,5,1,"waiter","washer","1",16.66,"0"
"123","1096",1825,"3",2,1,1,2,"waiter","washer","0",50,"0"
"124","1099",1833,"2",1,1,0,2,"waiter","washer","0",50,"0"
"130","1107",1854,"3",1,2,2,1,"waiter","days work","0",16.66,"0"
"131","1110",1861,"5",4,1,4,1,"porter","washer","0",60,"1"
"134","1119",1878,"4",1,3,3,1,"waiter","2 washers","0",50,"0"
"151","1217",2043,"4",1,3,2,2,"waiter $10m","days work","0",0,"0"
"167","1343",2270,"3",2,1,0,0,"seaman","days work","0",33.33,"0"
"168","1355",2288,"3",1,2,1,2,"laborer","washer","0",66.67,"1"
"173","1363",2298,"2",1,1,0,2,"porter","dom. duties","2",75,"1"
"174","1377",2324,"2",1,1,0,0,"seaman","days work","0",50,"0"
"176","1384",2338,"6",2,4,6,0,"barber","washer","0",83.34,"1"
"179","1401",2361,"2",1,1,0,2,"laborer","days work","2",25,"0"
"180","1403",2363,"2",1,1,0,2,"seaman","washer","0",75,"1"
"197","1476",2460,"7",2,5,2,5,"porter","washer","0",57.15,"1"
