"","X.1","X","Family.Size","Males","Females","Natives","Not.Natives","Male.Occupation","Female.Occupation","Born.slaves","EduLevel","Literate"
"2","14",27,"4",2,2,2,2,"seaman","washer","1",75,"1"
"3","16",30,"2",1,1,1,1,"laborer","days work","0",100,"1"
"4","17",31,"2",1,1,0,2,"porter","days work","0",0,"0"
"5","24",54,"6",3,3,5,1,"laborer","washer","0",16.66,"0"
"6","26",61,"4",1,3,3,1,"laborer","days work","1",37.5,"0"
"7","27",64,"4",1,3,1,3,"porter","days work","1",0,"0"
"9","41",85,"6",1,5,1,5,"laborer","washer","0",16.66,"0"
"11","50",99,"7",2,5,5,2,"laborer","days work","0",28.57,"0"
"12","78",145,"3",1,2,3,0,"waiter","washer","0",66.67,"1"
"13","82",151,"4",3,1,2,2,"porter","washer","0",25,"0"
"14","84",154,"8",3,5,7,1,"waiter","washer","0",37.5,"0"
"15","91",165,"2",1,1,0,2,"porter","days work","0",0,"0"
"16","102",181,"4",1,3,0,4,"laborer","washer","0",25,"0"
"17","109",192,"2",1,1,0,2,"laborer","washer","2",0,"0"
"18","121",212,"6",4,2,6,0,"porter","days work","0",66.66,"1"
"19","130",243,"4",2,2,3,1,"porter","days work","0",50,"0"
"20","131",244,"7",2,5,0,0,"laborer","days work","0",0,"0"
"21","145",269,"6",3,3,4,2,"porter","washer","0",58.34,"1"
"22","192",357,"6",2,4,4,2,"porter","days work","0",25,"0"
"23","240",428,"5",2,3,3,2,"porter","washer","0",40,"0"
"24","246",435,"4",2,2,4,0,"seaman","dom. duties","0",87.5,"1"
"25","258",453,"3",1,2,3,0,"waiter","washer","0",50,"0"
"27","273",485,"3",1,2,1,2,"laborer","washer","0",33.34,"0"
"28","283",502,"4",2,2,1,3,"seaman","days work","0",12.5,"0"
"29","294",519,"3",2,1,1,2,"laborer","days work","0",66.67,"1"
"30","298",524,"3",2,1,0,0,"laborer","days work","0",0,"0"
"31","307",538,"2",1,1,0,2,"seaman","days work","0",100,"1"
"33","405",694,"4",2,2,3,0,"laborer","days work","0",12.5,"0"
"35","469",791,"5",2,3,4,1,"hod carrier","dom. duties","0",40,"0"
"36","488",821,"2",1,1,0,2,"seaman","days work","2",0,"0"
"38","503",849,"2",1,1,0,2,"porter","days work","0",0,"0"
"39","525",891,"3",1,2,0,3,"seaman","days work","0",0,"0"
"40","530",903,"3",2,1,1,2,"porter","days work","0",66.67,"1"
"41","536",914,"4",2,2,0,4,"porter","days work","0",25,"0"
"42","538",916,"2",1,1,1,1,"laborer","days work","0",50,"0"
"43","551",934,"4",2,2,3,1,"laborer","days work","0",25,"0"
"44","563",964,"3",1,2,1,2,"porter","washer","0",50,"0"
"45","570",980,"3",2,1,0,3,"laborer","washer","2",16.66,"0"
"46","572",986,"3",1,2,1,2,"hod carrier","days work","0",16.66,"0"
