"","X.1","X","Family.Size","Males","Females","Natives","Not.Natives","Male.Occupation","Female.Occupation","Born.slaves","EduLevel","Literate"
"2","14",27,"4",2,2,2,2,"seaman","washer","1",75,"1"
"3","16",30,"2",1,1,1,1,"laborer","days work","0",100,"1"
"5","24",54,"6",3,3,5,1,"laborer","washer","0",16.66,"0"
"7","27",64,"4",1,3,1,3,"porter","days work","1",0,"0"
"9","41",85,"6",1,5,1,5,"laborer","washer","0",16.66,"0"
"11","50",99,"7",2,5,5,2,"laborer","days work","0",28.57,"0"
"12","68",129,"8",6,2,3,5,"barber","dom. duties","0",75,"1"
"13","74",136,"7",4,3,4,3,"barber","dom. duties","0",28.57,"0"
"14","78",145,"3",1,2,3,0,"waiter","washer","0",66.67,"1"
"15","82",151,"4",3,1,2,2,"porter","washer","0",25,"0"
"16","84",154,"8",3,5,7,1,"waiter","washer","0",37.5,"0"
"17","91",165,"2",1,1,0,2,"porter","days work","0",0,"0"
"20","121",212,"6",4,2,6,0,"porter","days work","0",66.66,"1"
"21","130",243,"4",2,2,3,1,"porter","days work","0",50,"0"
"22","131",244,"7",2,5,0,0,"laborer","days work","0",0,"0"
"23","141",259,"4",2,2,2,2,"waiter $10m","dom. duties","0",0,"0"
"24","145",269,"6",3,3,4,2,"porter","washer","0",58.34,"1"
"25","192",357,"6",2,4,4,2,"porter","days work","0",25,"0"
"27","246",435,"4",2,2,4,0,"seaman","dom. duties","0",87.5,"1"
"29","264",463,"5",3,2,0,5,"laborer","days work","0",30,"0"
"30","273",485,"3",1,2,1,2,"laborer","washer","0",33.34,"0"
"31","283",502,"4",2,2,1,3,"seaman","days work","0",12.5,"0"
"33","298",524,"3",2,1,0,0,"laborer","days work","0",0,"0"
"34","307",538,"2",1,1,0,2,"seaman","days work","0",100,"1"
"35","320",567,"5",1,4,1,4,"hod carrier","days work","1",0,"0"
"36","405",694,"4",2,2,3,0,"laborer","days work","0",12.5,"0"
"37","407",696,"3",2,1,0,0,"waiter","days work","0",83.34,"1"
"39","469",791,"5",2,3,4,1,"hod carrier","dom. duties","0",40,"0"
"41","490",824,"4",3,1,2,2,"waiter","days work","0",0,"0"
"42","503",849,"2",1,1,0,2,"porter","days work","0",0,"0"
"43","510",861,"5",1,4,2,3,"waiter $10m","2 washers","0",40,"0"
"44","512",863,"5",1,4,2,3,"waiter $10m","2 washers","0",40,"0"
"45","519",874,"5",4,1,5,0,"barber","washer","0",90,"1"
"46","525",891,"3",1,2,0,3,"seaman","days work","0",0,"0"
"47","530",903,"3",2,1,1,2,"porter","days work","0",66.67,"1"
"48","536",914,"4",2,2,0,4,"porter","days work","0",25,"0"
"49","538",916,"2",1,1,1,1,"laborer","days work","0",50,"0"
"50","551",934,"4",2,2,3,1,"laborer","days work","0",25,"0"
